Company,Job Title,Job Type,Experience level,Company_requirement,Facilities,Salary (USD),Job Format,country,Domain
"Lakeshore Learning Materials, LLC",Senior Manager of Master Data Management (Hybrid),Full Time,Senior-level,"Data Analytics,Data governance,Data management,Data quality,E-commerce,Excel","Career development,Fitness / gym,Flex hours,Health care,Medical leave",135000.0,In location,United States,Data Analyst
AUTO1 Group,"Mid Data Scientist (f/m/x), Remote (EU) / Berlin",Full Time,Senior-level,"Data visualization,Engineering,Machine Learning,Python,Research,SQL","Career development,Flex hours,Flex vacation,Team events",129000.0,In location,Germany,Data Science
Varsity Tutors,Sr. Product Manager (AI team),Full Time,Senior-level,"Agile,Computer Science,Engineering,Genetics,Research,SQL","401(k) matching,Career development,Competitive pay,Equity,Health care",62000.0,Remote,United States,Artificial Intelligence
METRO/MAKRO,Data Analyst (Pricing),Full Time,Mid-level,"BigQuery,Data pipelines,Data visualization,ELT,Engineering,ETL",Not specified,65000.0,In location,Spain,Data Analyst
PA Consulting,Principal Data Strategist Consultant,Full Time,Senior-level,"Big Data,Business Intelligence,Data analysis,EDA,Excel,Machine Learning",Not specified,62000.0,In location,United Kingdom,Big Data
carsales,Senior Vehicle Data Analyst,Full Time,Senior-level,"APIs,Data analysis,Finance,R,RDBMS,SQL","Career development,Flex hours,Flex vacation,Insurance,Parental leave",92000.0,In location,Australia,Data Analyst
Grover,Machine Learning Engineer (m/w/x),Full Time,Not specified,"Computer Science,Credit risk,Docker,Engineering,Kafka,Kubernetes","Flex hours,Flex vacation,Startup environment,Team events",90000.0,In location,Mexico,Machine Learning
Roblox,"Principal Engineer, Datacenter Software Systems",Full Time,Senior-level,"APIs,Engineering,Genetics,Golang,Kubernetes","Equity,Flex hours,Flex vacation,Health care,Unlimited paid time off",283000.0,In location,United States,"PRINCIPAL ENGINEER, DATACENTER SOFTWARE SYSTEMS APIS,ENGINEERING,GENETICS,GOLANG,KUBERNETES,"
Definitive Logic,Business Intelligence (Qlik) Developer,Full Time,Mid-level,"Agile,Business Intelligence,Consulting,Consulting firm,Databricks,Data management","Career development,Competitive pay,Flex hours,Flex vacation,Health care",56000.0,In location,United States,Business Intelligence
SoFi,"Staff Data Scientist, Credit Card",Full Time,Senior-level,"Causal inference,Computer Science,Economics,Engineering,Finance,FinTech","Career development,Competitive pay,Health care,Insurance,Startup environment",129000.0,In location,United States,Data Science
Databricks,Head of Product Data Science,Full Time,Executive-level,"Big Data,CX,Databricks,Data visualization,Engineering,Excel","Career development,Flex vacation,Health care,Insurance,Medical leave",81000.0,In location,United States,Data Science
CleverConnect,Data Engineer / Data Analyst - Stage de fin d'études - Paris 2e (H/F),Full Time,Entry-level,"Agile,Architecture,AWS,BigQuery,Dataflow,Data visualization","Career development,Yoga",48000.0,In location,France,Data Engineer
Woodruff Sawyer,Data Scientist,Full Time,Not specified,"Data analysis,Data Analytics,EDA,Excel,Finance,Python","401(k) matching,Career development,Flexible spending account,Flex vacation,Health care",72000.0,In location,United States,Data Science
Doxee,Junior Data Engineer,Full Time,Entry-level,"AWS,Big Data,CI/CD,Computer Science,Data management,DevOps","Career development,Team events",59000.0,In location,Italy,Big Data
Scale AI,Machine Learning Research Engineer - Federal,Full Time,Senior-level,"AWS,Computer Science,Computer Vision,CX,Deep Learning,Engineering","Career development,Equity,Health care",200000.0,In location,United States,Machine Learning
84.51°,Lead Data Engineer (P3796),Full Time,Senior-level,"Agile,Architecture,Big Data,Business Analytics,CI/CD,Computer Science",Not specified,115000.0,In location,United States,Big Data
Procore Technologies,Senior ML Engineer,Full Time,Senior-level,"AWS,Classification,Docker,Elixir,Engineering,Flink","Career development,Competitive pay,Equity",151000.0,In location,United States,Machine Learning
PA Consulting,Senior Data Strategist,Full Time,Senior-level,"Big Data,Business Intelligence,Data analysis,EDA,Excel,Machine Learning",Not specified,62000.0,In location,United Kingdom,Big Data
Numberly,BI Engineer & Data Visualisation,Full Time,Entry-level,"Business Intelligence,ELT,ETL,Git,OLAP,Open Source",Not specified,39000.0,In location,France,Business Intelligence
Extreme Networks,Senior Machine Learning Engineer (8031),Full Time,Senior-level,"Classification,Computer Science,Deep Learning,Engineering,Machine Learning,ML models","Career development,Startup environment",131000.0,In location,Ireland,Machine Learning
Roosh,Python Machine Learning Engineer (AdLight),Full Time,Not specified,"API Development,APIs,Architecture,AWS,Azure,CI/CD","Career development,Conferences,Flex vacation,Health care,Startup environment",90000.0,In location,Ukraine,Machine Learning
Bosch Group,Research Engineer in Text Analytics (Direct Contract with Bosch),Full Time,Entry-level,"Architecture,Classification,Computer Science,Deep Learning,Engineering,Machine Learning",Conferences,105000.0,In location,India,Machine Learning
Delta Solutions & Strategies,Data Engineer,Full Time,Mid-level,"Agile,AWS,Data analysis,Data management,EDA,Engineering","Health care,Insurance",73000.0,In location,United States,Data Engineer
Procore Technologies,Senior Machine Learning Engineer,Full Time,Senior-level,"AWS,Classification,Docker,Elixir,Engineering,Flink","Career development,Competitive pay,Equity,Health care,Team events",151000.0,In location,United States,Machine Learning
Sia Partners,Consultant(e) Data Scientist / Recherche Opérationnelle,Full Time,Entry-level,"Big Data,Consulting,Julia,Linux,Machine Learning,Matlab",Not specified,40000.0,In location,France,Data Science
